title,overview,vote_average,genres,release_year,id
Telugu Movie 31,Overview of Telugu Movie 31.,7.0,"Drama, Action",2020,100030
Telugu Movie 32,Overview of Telugu Movie 32.,6.0,"Drama, Action",2021,100031
Telugu Movie 33,Overview of Telugu Movie 33.,6.5,"Drama, Action",2022,100032
Telugu Movie 34,Overview of Telugu Movie 34.,7.0,"Drama, Action",2023,100033
Telugu Movie 35,Overview of Telugu Movie 35.,6.0,"Drama, Action",2000,100034
Telugu Movie 36,Overview of Telugu Movie 36.,6.5,"Drama, Action",2001,100035
Telugu Movie 37,Overview of Telugu Movie 37.,7.0,"Drama, Action",2002,100036
Telugu Movie 38,Overview of Telugu Movie 38.,6.0,"Drama, Action",2003,100037
Telugu Movie 39,Overview of Telugu Movie 39.,6.5,"Drama, Action",2004,100038
Telugu Movie 40,Overview of Telugu Movie 40.,7.0,"Drama, Action",2005,100039
Telugu Movie 41,Overview of Telugu Movie 41.,6.0,"Drama, Action",2006,100040
Telugu Movie 42,Overview of Telugu Movie 42.,6.5,"Drama, Action",2007,100041
Telugu Movie 43,Overview of Telugu Movie 43.,7.0,"Drama, Action",2008,100042
Telugu Movie 44,Overview of Telugu Movie 44.,6.0,"Drama, Action",2009,100043
Telugu Movie 45,Overview of Telugu Movie 45.,6.5,"Drama, Action",2010,100044
Telugu Movie 46,Overview of Telugu Movie 46.,7.0,"Drama, Action",2011,100045
Telugu Movie 47,Overview of Telugu Movie 47.,6.0,"Drama, Action",2012,100046
Telugu Movie 48,Overview of Telugu Movie 48.,6.5,"Drama, Action",2013,100047
Telugu Movie 49,Overview of Telugu Movie 49.,7.0,"Drama, Action",2014,100048
Telugu Movie 50,Overview of Telugu Movie 50.,6.0,"Drama, Action",2015,100049
Telugu Movie 51,Overview of Telugu Movie 51.,6.5,"Drama, Action",2016,100050
Telugu Movie 52,Overview of Telugu Movie 52.,7.0,"Drama, Action",2017,100051
Telugu Movie 53,Overview of Telugu Movie 53.,6.0,"Drama, Action",2018,100052
Telugu Movie 54,Overview of Telugu Movie 54.,6.5,"Drama, Action",2019,100053
Telugu Movie 55,Overview of Telugu Movie 55.,7.0,"Drama, Action",2020,100054
Telugu Movie 56,Overview of Telugu Movie 56.,6.0,"Drama, Action",2021,100055
Telugu Movie 57,Overview of Telugu Movie 57.,6.5,"Drama, Action",2022,100056
Telugu Movie 58,Overview of Telugu Movie 58.,7.0,"Drama, Action",2023,100057
Telugu Movie 59,Overview of Telugu Movie 59.,6.0,"Drama, Action",2000,100058
Telugu Movie 60,Overview of Telugu Movie 60.,6.5,"Drama, Action",2001,100059
Telugu Movie 61,Overview of Telugu Movie 61.,7.0,"Drama, Action",2002,100060
Telugu Movie 62,Overview of Telugu Movie 62.,6.0,"Drama, Action",2003,100061
Telugu Movie 63,Overview of Telugu Movie 63.,6.5,"Drama, Action",2004,100062
Telugu Movie 64,Overview of Telugu Movie 64.,7.0,"Drama, Action",2005,100063
Telugu Movie 65,Overview of Telugu Movie 65.,6.0,"Drama, Action",2006,100064
Telugu Movie 66,Overview of Telugu Movie 66.,6.5,"Drama, Action",2007,100065
Telugu Movie 67,Overview of Telugu Movie 67.,7.0,"Drama, Action",2008,100066
Telugu Movie 68,Overview of Telugu Movie 68.,6.0,"Drama, Action",2009,100067
Telugu Movie 69,Overview of Telugu Movie 69.,6.5,"Drama, Action",2010,100068
Telugu Movie 70,Overview of Telugu Movie 70.,7.0,"Drama, Action",2011,100069
Telugu Movie 71,Overview of Telugu Movie 71.,6.0,"Drama, Action",2012,100070
Telugu Movie 72,Overview of Telugu Movie 72.,6.5,"Drama, Action",2013,100071
Telugu Movie 73,Overview of Telugu Movie 73.,7.0,"Drama, Action",2014,100072
Telugu Movie 74,Overview of Telugu Movie 74.,6.0,"Drama, Action",2015,100073
Telugu Movie 75,Overview of Telugu Movie 75.,6.5,"Drama, Action",2016,100074
Telugu Movie 76,Overview of Telugu Movie 76.,7.0,"Drama, Action",2017,100075
Telugu Movie 77,Overview of Telugu Movie 77.,6.0,"Drama, Action",2018,100076
Telugu Movie 78,Overview of Telugu Movie 78.,6.5,"Drama, Action",2019,100077
Telugu Movie 79,Overview of Telugu Movie 79.,7.0,"Drama, Action",2020,100078
Telugu Movie 80,Overview of Telugu Movie 80.,6.0,"Drama, Action",2021,100079
Telugu Movie 81,Overview of Telugu Movie 81.,6.5,"Drama, Action",2022,100080
Telugu Movie 82,Overview of Telugu Movie 82.,7.0,"Drama, Action",2023,100081
Telugu Movie 83,Overview of Telugu Movie 83.,6.0,"Drama, Action",2000,100082
Telugu Movie 84,Overview of Telugu Movie 84.,6.5,"Drama, Action",2001,100083
Telugu Movie 85,Overview of Telugu Movie 85.,7.0,"Drama, Action",2002,100084
Telugu Movie 86,Overview of Telugu Movie 86.,6.0,"Drama, Action",2003,100085
Telugu Movie 87,Overview of Telugu Movie 87.,6.5,"Drama, Action",2004,100086
Telugu Movie 88,Overview of Telugu Movie 88.,7.0,"Drama, Action",2005,100087
Telugu Movie 89,Overview of Telugu Movie 89.,6.0,"Drama, Action",2006,100088
Telugu Movie 90,Overview of Telugu Movie 90.,6.5,"Drama, Action",2007,100089
Telugu Movie 91,Overview of Telugu Movie 91.,7.0,"Drama, Action",2008,100090
Telugu Movie 92,Overview of Telugu Movie 92.,6.0,"Drama, Action",2009,100091
Telugu Movie 93,Overview of Telugu Movie 93.,6.5,"Drama, Action",2010,100092
Telugu Movie 94,Overview of Telugu Movie 94.,7.0,"Drama, Action",2011,100093
Telugu Movie 95,Overview of Telugu Movie 95.,6.0,"Drama, Action",2012,100094
Telugu Movie 96,Overview of Telugu Movie 96.,6.5,"Drama, Action",2013,100095
Telugu Movie 97,Overview of Telugu Movie 97.,7.0,"Drama, Action",2014,100096
Telugu Movie 98,Overview of Telugu Movie 98.,6.0,"Drama, Action",2015,100097
Telugu Movie 99,Overview of Telugu Movie 99.,6.5,"Drama, Action",2016,100098
Telugu Movie 100,Overview of Telugu Movie 100.,7.0,"Drama, Action",2017,100099
